,Name,Currency,Valuation,First_Trade_Date,Expiration,BBGTicker,Description
0,ODF05 Comdty,BRL,1104710400000,1999-10-01,2004-12-30,ODF05 Comdty,ONE-DAY BANK DEP  Jan05
1,ODF06 Comdty,BRL,1136160000000,2000-10-02,2005-12-29,ODF06 Comdty,ONE-DAY BANK DEP  Jan06
2,ODF07 Comdty,BRL,1167696000000,2001-10-01,2006-12-28,ODF07 Comdty,ONE-DAY BANK DEP  Jan07
3,ODF08 Comdty,BRL,1199232000000,2002-10-01,2007-12-31,ODF08 Comdty,ONE-DAY BANK DEP  Jan08
4,ODF09 Comdty,BRL,1230854400000,2003-04-01,2008-12-30,ODF09 Comdty,ONE-DAY BANK DEP  Jan09
5,ODF10 Comdty,BRL,1262563200000,2003-04-01,2009-12-30,ODF10 Comdty,ONE-DAY BANK DEP  Jan10
6,ODF11 Comdty,BRL,1294012800000,2005-05-02,2010-12-30,ODF11 Comdty,ONE-DAY BANK DEP  Jan11
7,ODF12 Comdty,BRL,1325462400000,2003-04-01,2011-12-29,ODF12 Comdty,ONE-DAY BANK DEP  Jan12
8,ODF13 Comdty,BRL,1357084800000,2003-04-01,2012-12-28,ODF13 Comdty,ONE-DAY BANK DEP  Jan13
9,ODF14 Comdty,BRL,1388620800000,2006-03-24,2013-12-30,ODF14 Comdty,ONE-DAY BANK DEP  Jan14
10,ODF15 Comdty,BRL,1420156800000,2006-03-22,2014-12-30,ODF15 Comdty,ONE-DAY BANK DEP  Jan15
11,ODF16 Comdty,BRL,1451865600000,2006-01-17,2015-12-30,ODF16 Comdty,ONE-DAY BANK DEP  Jan16
12,ODF17 Comdty,BRL,1483315200000,2006-01-17,2016-12-30,ODF17 Comdty,ONE-DAY BANK DEP  Jan17
13,ODF18 Comdty,BRL,1514851200000,2007-03-16,2017-12-28,ODF18 Comdty,ONE-DAY BANK DEP  Jan18
14,ODF19 Comdty,BRL,1546387200000,2007-03-16,2018-12-28,ODF19 Comdty,ONE-DAY BANK DEP  Jan19
15,ODF21 Comdty,BRL,1609718400000,2009-05-20,2020-12-30,ODF21 Comdty,ONE-DAY BANK DEP  Jan21
16,ODF22 Comdty,BRL,1641168000000,2007-01-19,2021-12-30,ODF22 Comdty,ONE-DAY BANK DEP  Jan22
17,ODF23 Comdty,BRL,1672617600000,2010-08-11,2022-12-29,ODF23 Comdty,ONE-DAY BANK DEP  Jan23
18,ODF24 Comdty,BRL,1704153600000,2010-08-05,2023-12-28,ODF24 Comdty,ONE-DAY BANK DEP  Jan24
19,ODF25 Comdty,BRL,1735776000000,2010-04-09,2024-12-30,ODF25 Comdty,ONE-DAY BANK DEP  Jan25
20,ODF26 Comdty,BRL,1767312000000,2013-11-13,2025-12-30,ODF26 Comdty,ONE-DAY BANK DEP  Jan26
21,ODF27 Comdty,BRL,1799020800000,2015-12-28,2026-12-30,ODF27 Comdty,ONE-DAY BANK DEP  Jan27
