Refdate;TYU19 Comdty;TYZ19 Comdty;TYH20 Comdty;TYM20 Comdty;TYU0 Comdty;Qtt; Daily PX ;Daily P&L;; USD ; Contract Size ;; Delta ;;;;;index;CRNCY;FUT_FIRST_TRADE_DT;FUT_NOTICE_FIRST;PARSEKYABLE_DES;SECURITY_NAME
24/06/2019;127.9375;128.28125;128.28125;;;-7; 127.9375 ;;;-1,000,000.00 ; 100,000.00 ;-7.00 ;-895,562.50 ;;;;;TYU19 Comdty;USD;20/12/2018;30/08/2019;TYU9 Comdty;US 10YR NOTE (CBT)Sep19
25/06/2019;128.125;128.46875;128.46875;;;-1; 128.1250 ;-0.19 ;;; 100,000.00 ;-7.00 ;-896,875.00 ;;;;;TYZ19 Comdty;USD;21/03/2019;29/11/2019;TYZ9 Comdty;US 10YR NOTE (CBT)Dec19
26/06/2019;127.59375;127.9375;127.9375;;;-1; 127.5938 ; 0.53 ;;; 100,000.00 ;-7.00 ;-893,156.25 ;;;;;TYH20 Comdty;USD;20/06/2019;28/02/2020;TYH0 Comdty;US 10YR NOTE (CBT)Mar20
27/06/2019;127.9375;128.28125;128.28125;;;-1; 127.9375 ;-0.34 ;;; 100,000.00 ;-7.00 ;-895,562.50 ;;;;;TYM20 Comdty;USD;20/09/2019;29/05/2020;TYM0 Comdty;US 10YR NOTE (CBT)Jun20
28/06/2019;127.96875;128.34375;128.34375;;;-1; 127.9688 ;-0.03 ;;; 100,000.00 ;-7.00 ;-895,781.25 ;;;;;TYU0;USD;;31/08/2020;TYU0 Comdty;US 10YR NOTE (CBT)Sep20
01/07/2019;127.6875;128.03125;128.03125;;;-1; 127.6875 ; 0.28 ;;; 100,000.00 ;-7.00 ;-893,812.50 ;;;;;;;;;;
02/07/2019;128.140625;128.515625;128.515625;;;-1; 128.1406 ;-0.45 ;;; 100,000.00 ;-7.00 ;-896,984.38 ;;;;;;;;;;
03/07/2019;128.25;128.65625;128.65625;;;-1; 128.2500 ;-0.11 ;;; 100,000.00 ;-7.00 ;-897,750.00 ;;;;;;;;;;
05/07/2019;127.46875;127.828125;127.828125;;;-1; 127.4688 ; 0.78 ;;; 100,000.00 ;-7.00 ;-892,281.25 ;;;;;;;;;;
08/07/2019;127.5;127.875;127.875;;;-1; 127.5000 ;-0.03 ;;; 100,000.00 ;-7.00 ;-892,500.00 ;;;;;;;;;;
09/07/2019;127.296875;127.671875;127.671875;;;-1; 127.2969 ; 0.20 ;;; 100,000.00 ;-7.00 ;-891,078.13 ;;;;;;;;;;
10/07/2019;127.4375;127.84375;127.84375;;;-1; 127.4375 ;-0.14 ;;; 100,000.00 ;-7.00 ;-892,062.50 ;;;;;;;;;;
11/07/2019;126.984375;127.359375;127.359375;;;-1; 126.9844 ; 0.45 ;;; 100,000.00 ;-7.00 ;-888,890.63 ;;;;;;;;;;
12/07/2019;127.109375;127.484375;127.484375;;;-1; 127.1094 ;-0.13 ;;; 100,000.00 ;-7.00 ;-889,765.63 ;;;;;;;;;;
15/07/2019;127.171875;127.546875;127.546875;;;-1; 127.1719 ;-0.06 ;;; 100,000.00 ;-7.00 ;-890,203.13 ;;;;;;;;;;
16/07/2019;126.921875;127.28125;127.28125;;;-1; 126.9219 ; 0.25 ;;; 100,000.00 ;-7.00 ;-888,453.13 ;;;;;;;;;;
17/07/2019;127.359375;127.765625;127.765625;;;-1; 127.3594 ;-0.44 ;;; 100,000.00 ;-7.00 ;-891,515.63 ;;;;;;;;;;
18/07/2019;127.640625;128.0625;128.0625;;;-1; 127.6406 ;-0.28 ;;; 100,000.00 ;-7.00 ;-893,484.38 ;;;;;;;;;;
19/07/2019;127.53125;127.96875;127.96875;;;-1; 127.5313 ; 0.11 ;;; 100,000.00 ;-7.00 ;-892,718.75 ;;;;;;;;;;
22/07/2019;127.59375;128.046875;128.046875;;;-1; 127.5938 ;-0.06 ;;; 100,000.00 ;-7.00 ;-893,156.25 ;;;;;;;;;;
23/07/2019;127.359375;127.796875;127.796875;;;-1; 127.3594 ; 0.23 ;;; 100,000.00 ;-7.00 ;-891,515.63 ;;;;;;;;;;
24/07/2019;127.515625;127.953125;127.953125;;;-1; 127.5156 ;-0.16 ;;; 100,000.00 ;-7.00 ;-892,609.38 ;;;;;;;;;;
25/07/2019;127.28125;127.703125;127.703125;;;-1; 127.2813 ; 0.23 ;;; 100,000.00 ;-7.00 ;-890,968.75 ;;;;;;;;;;
26/07/2019;127.21875;127.640625;127.640625;;;-1; 127.2188 ; 0.06 ;;; 100,000.00 ;-7.00 ;-890,531.25 ;;;;;;;;;;
