Refdate,TYH0 Comdty,TYH17 Comdty,TYH18 Comdty,TYH19 Comdty,TYM0 Comdty,TYM17 Comdty,TYM18 Comdty,TYM19 Comdty,TYU0 Comdty,TYU17 Comdty,TYU18 Comdty,TYU19 Comdty,TYZ0 Comdty,TYZ17 Comdty,TYZ18 Comdty,TYZ19 Comdty
2017-01-03,,124.109375,,,,123.515625,,,,123.515625,,,,,,
2017-01-04,,124.109375,,,,123.5,,,,123.5,,,,,,
2017-01-05,,124.828125,,,,124.234375,,,,124.234375,,,,,,
2017-01-06,,124.40625,,,,123.8125,,,,123.8125,,,,,,
2017-01-09,,124.78125,,,,124.203125,,,,124.203125,,,,,,
2017-01-10,,124.765625,,,,124.1875,,,,124.1875,,,,,,
2017-01-11,,124.8125,,,,124.25,,,,124.25,,,,,,
2017-01-12,,124.890625,,,,124.328125,,,,124.328125,,,,,,
2017-01-13,,124.78125,,,,124.21875,,,,124.21875,,,,,,
2017-01-17,,125.234375,,,,124.671875,,,,124.671875,,,,,,
2017-01-18,,124.71875,,,,124.15625,,,,124.15625,,,,,,
2017-01-19,,124.171875,,,,123.59375,,,,124.1875,,,,,,
2017-01-20,,124.21875,,,,123.640625,,,,124.234375,,,,,,
2017-01-23,,124.8125,,,,124.265625,,,,124.859375,,,,,,
2017-01-24,,124.21875,,,,123.640625,,,,124.234375,,,,,,
2017-01-25,,123.8125,,,,123.234375,,,,123.828125,,,,,,
2017-01-26,,123.96875,,,,123.390625,,,,123.03125,,,,,,
2017-01-27,,124.171875,,,,123.609375,,,,123.25,,,,,,
2017-01-30,,124.21875,,,,123.65625,,,,123.296875,,,,,,
2017-01-31,,124.46875,,,,123.90625,,,,123.546875,,,,,,
2017-02-01,,124.328125,,,,123.765625,,,,123.40625,,,,,,
2017-02-02,,124.375,,,,123.8125,,,,123.453125,,,,,,
2017-02-03,,124.28125,,,,123.71875,,,,123.359375,,,,,,
2017-02-06,,124.9375,,,,124.390625,,,,124.03125,,,,,,
2017-02-07,,125.109375,,,,124.5625,,,,124.203125,,,,,,
2017-02-08,,125.359375,,,,124.828125,,,,124.46875,,,,,,
2017-02-09,,124.921875,,,,124.375,,,,124.015625,,,,,,
2017-02-10,,124.78125,,,,124.234375,,,,123.875,,,,,,
2017-02-13,,124.59375,,,,124.046875,,,,123.6875,,,,,,
2017-02-14,,124.234375,,,,123.6875,,,,123.328125,,,,,,
2017-02-15,,123.96875,,,,123.390625,,,,123.03125,,,,,,
2017-02-16,,124.453125,,,,123.890625,,,,123.53125,,,,,,
2017-02-17,,124.703125,,,,124.15625,,,,123.796875,,,,,,
2017-02-21,,124.703125,,,,124.15625,,,,123.796875,,,,,,
2017-02-22,,124.765625,,,,124.21875,,,,123.859375,,,,,,
2017-02-23,,125.046875,,,,124.484375,,,,124.125,,,,,,
2017-02-24,,125.609375,,,,125.09375,,,,124.734375,,,,,,
2017-02-27,,125.140625,,,,124.59375,,,,124.234375,,,,,,
2017-02-28,,125.109375,,,,124.578125,,,,124.21875,,,,,,
2017-03-01,,124.28125,,,,123.71875,,,,123.359375,,,,,,
2017-03-02,,124.078125,,,,123.5,,,,123.140625,,,,,,
2017-03-03,,124.171875,,,,123.578125,,,,123.21875,,,,,,
2017-03-06,,124.1875,,,,123.59375,,,,123.234375,,,,,,
2017-03-07,,124.046875,,,,123.453125,,,,123.09375,,,,,,
2017-03-08,,123.765625,,,,123.140625,,,,122.78125,,,,,,
2017-03-09,,123.46875,,,,122.828125,,,,122.46875,,,,,,
2017-03-10,,123.65625,,,,123.015625,,,,122.578125,,,,,,
2017-03-13,,123.46875,,,,122.796875,,,,122.21875,,,,,,
2017-03-14,,123.5625,,,,122.875,,,,122.234375,,,,,,
2017-03-15,,124.390625,,,,123.734375,,,,123.109375,,,,,,
2017-03-16,,124.234375,,,,123.59375,,,,122.984375,,,,,,
2017-03-17,,124.390625,,,,123.75,,,,123.140625,,,,,,
2017-03-20,,124.671875,,,,124.0,,,,123.40625,,,,,,
2017-03-21,,124.90625,,,,124.28125,,,,123.734375,,,,,,
2017-03-22,,125.078125,,,,124.53125,,,,124.0,,,,,,
2017-03-23,,,,,,124.40625,,,,123.890625,,,,123.890625,,
2017-03-24,,,,,,124.53125,,,,124.0,,,,124.0,,
2017-03-27,,,,,,124.671875,,,,124.15625,,,,124.15625,,
2017-03-28,,,,,,124.359375,,,,123.84375,,,,123.84375,,
